,g5k_processor,ept,vpid,pml,cat,cmt,cdp,mbm,mba,spp
0,6130,1,1,1,1,1,1,1,1,0
1,5218,1,1,1,1,1,1,1,1,0
2,6126,1,1,1,1,1,1,1,1,0
3,8358,1,1,1,1,1,1,1,1,1
4,E5-2630L,1,1,1,1,1,1,1,0,0
5,E5-2698v4,1,1,1,1,1,1,1,0,0
6,E5-2620,1,1,1,1,1,1,1,0,0
7,E5-2620v4,1,1,1,1,1,1,1,0,0
8,E5-2630,1,1,1,1,1,1,1,0,0
9,5220,1,1,1,1,1,1,1,1,0
10,E5-2660,1,1,1,1,1,1,1,0,0
11,E5-2630Lv4,1,1,1,1,1,1,1,0,0
12,E5-2630v3,1,1,1,1,0,0,0,0,0
13,X5670,1,1,0,0,0,0,0,0,0
14,4314,1,1,1,1,1,1,1,1,1
15,4110,1,1,1,1,1,1,1,1,0
16,5218R,1,1,1,1,1,1,1,1,0
17,E5-2650v4,1,1,1,1,1,1,1,0,0
18,6240L,1,1,1,1,1,1,1,1,0
19,E7-4850v3,1,1,1,1,0,0,0,0,0
20,E5-2609v4,1,1,1,1,1,1,1,0,0
21,4114,1,1,1,1,1,1,1,1,0
22,5115,1,1,1,1,1,1,1,1,1
23,5120,1,1,1,1,1,1,1,1,0
24,6248,1,1,1,1,1,1,1,1,0
25,4214,1,1,1,1,1,1,1,1,0
26,5220R,1,1,1,1,1,1,1,1,0
27,E5-2660v2,1,1,0,0,0,0,0,0,0
28,6154,1,1,1,1,1,1,1,1,0
29,6142,1,1,1,1,1,1,1,1,0
30,E5-2660v3,1,1,1,1,0,0,0,0,0
31,5118,1,1,1,1,1,1,1,1,0
32,6254,1,1,1,1,1,1,1,1,0
